article_id,article_title,article_source
aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQXluX1JhbmQ=,Ayn Rand,/Users/Ben/Desktop/aardvark/Aardvark/wikipedia_txt_dump/20130405-wiki-en_000000.txt.gz
aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQXV0aXNt,Autism,/Users/Ben/Desktop/aardvark/Aardvark/wikipedia_txt_dump/20130405-wiki-en_000000.txt.gz
aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQVNDSUk=,ASCII,/Users/Ben/Desktop/aardvark/Aardvark/wikipedia_txt_dump/20130405-wiki-en_000000.txt.gz
aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWxnYWU=,Algae,/Users/Ben/Desktop/aardvark/Aardvark/wikipedia_txt_dump/20130405-wiki-en_000000.txt.gz
aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWx0cnVpc20=,Altruism,/Users/Ben/Desktop/aardvark/Aardvark/wikipedia_txt_dump/20130405-wiki-en_000000.txt.gz
aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWRh,Ada,/Users/Ben/Desktop/aardvark/Aardvark/wikipedia_txt_dump/20130405-wiki-en_000000.txt.gz
aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQW1waGliaWFu,Amphibian,/Users/Ben/Desktop/aardvark/Aardvark/wikipedia_txt_dump/20130405-wiki-en_000000.txt.gz
aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQW1lcmljYW5fRm9vdGJhbGxfQ29uZmVyZW5jZQ==,American Football Conference,/Users/Ben/Desktop/aardvark/Aardvark/wikipedia_txt_dump/20130405-wiki-en_000000.txt.gz
aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQW50aHJvcG9sb2d5,Anthropology,/Users/Ben/Desktop/aardvark/Aardvark/wikipedia_txt_dump/20130405-wiki-en_000000.txt.gz
aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWxnZXJpYQ==,Algeria,/Users/Ben/Desktop/aardvark/Aardvark/wikipedia_txt_dump/20130405-wiki-en_000000.txt.gz
aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWxrYW5l,Alkane,/Users/Ben/Desktop/aardvark/Aardvark/wikipedia_txt_dump/20130405-wiki-en_000000.txt.gz
aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWxiZWRv,Albedo,/Users/Ben/Desktop/aardvark/Aardvark/wikipedia_txt_dump/20130405-wiki-en_000000.txt.gz
aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWdyaWN1bHR1cmU=,Agriculture,/Users/Ben/Desktop/aardvark/Aardvark/wikipedia_txt_dump/20130405-wiki-en_000000.txt.gz
aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWxhc2th,Alaska,/Users/Ben/Desktop/aardvark/Aardvark/wikipedia_txt_dump/20130405-wiki-en_000000.txt.gz
aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWxhYmFtYQ==,Alabama,/Users/Ben/Desktop/aardvark/Aardvark/wikipedia_txt_dump/20130405-wiki-en_000000.txt.gz
aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWdyaWN1bHR1cmFsX3NjaWVuY2U=,Agricultural science,/Users/Ben/Desktop/aardvark/Aardvark/wikipedia_txt_dump/20130405-wiki-en_000000.txt.gz
aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWZyb2FzaWF0aWNfbGFuZ3VhZ2Vz,Afroasiatic languages,/Users/Ben/Desktop/aardvark/Aardvark/wikipedia_txt_dump/20130405-wiki-en_000000.txt.gz
aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvSW50ZXJuYXRpb25hbF9BdG9taWNfVGltZQ==,International Atomic Time,/Users/Ben/Desktop/aardvark/Aardvark/wikipedia_txt_dump/20130405-wiki-en_000000.txt.gz
aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWNhZGVteV9Bd2FyZA==,Academy Award,/Users/Ben/Desktop/aardvark/Aardvark/wikipedia_txt_dump/20130405-wiki-en_000000.txt.gz
aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQW5kb3JyYQ==,Andorra,/Users/Ben/Desktop/aardvark/Aardvark/wikipedia_txt_dump/20130405-wiki-en_000000.txt.gz
